VEH_LIGEROS_TAR_DIF,VEH_LIGEROS_AUTOMOVILES,VEH_PESADOS_TAR_DIF,VEH_PESADOS__2E,VEH_PESADOS_3E,VEH_PESADOS_4E,VEH_PESADOS_5E,VEH_PESADOS_6E,VEH_PESADOS_7E,VEH_LIGEROS_TOTAL,VEH_LIGEROS_IMD,VEH_PESADOS_TOTAL,VEH_PESADOS_IMD,VEH_TOTAL,VEH_IMD,ANIO,MES,PERIODO,PBI,Feriados,No_Laborables_Fuera_de_Feriado,Fines_de_Semana,Pandemia,CODIGO_PEAJE,ADMINIST,DEPARTAMENTO
2675.999999999999,8810.000000000005,0.0,2528.0000000000005,2263.000000000001,635.9999999999999,348.9999999999999,4059.0000000000005,16.0,11486.0,370.5,9851.0,317.8,21337.0,688.3,2015.0,5.0,201505.0,150.244868495168,1.0,0.0,10.0,0.0,22PE5NACS1,Concesionado,San Martín
2386.000000000001,8825.999999999998,0.0,2431.000000000001,2309.0,690.9999999999998,335.99999999999994,3789.0000000000005,9.000000000000002,11212.0,373.7,9565.0,318.8,20777.0,692.6,2015.0,6.0,201506.0,150.610161862057,1.0,0.0,8.0,0.0,22PE5NACS1,Concesionado,San Martín
3033.000000000002,10315.000000000007,0.0,2607.000000000001,2636.0000000000005,804.9999999999998,342.99999999999994,3980.9999999999986,3.999999999999999,13348.0,430.6,10376.0,334.7,23724.0,765.3,2015.0,7.0,201507.0,153.229934143432,2.0,1.0,8.0,0.0,22PE5NACS1,Concesionado,San Martín
2684.000000000001,10832.00000000001,0.0,2639.0,2870.0000000000014,804.0000000000002,364.0,4245.000000000001,29.000000000000004,13516.0,436.0,10951.0,353.3,24467.0,789.3,2015.0,8.0,201508.0,149.403470697751,1.0,0.0,10.0,0.0,22PE5NACS1,Concesionado,San Martín
2244.000000000001,9204.999999999998,0.0,2615.000000000001,2673.9999999999995,782.9999999999998,333.0000000000001,4163.000000000003,28.000000000000004,11449.0,381.6,10596.0,353.2,22045.0,734.8,2015.0,9.0,201509.0,151.861936248684,0.0,0.0,8.0,0.0,22PE5NACS1,Concesionado,San Martín
2377.0,9634.999999999996,0.0,2564.0,2698.0000000000005,758.0000000000003,337.9999999999999,4184.999999999999,43.99999999999999,12012.0,387.5,10587.0,341.5,22599.0,729.0,2015.0,10.0,201510.0,155.549138143263,1.0,1.0,9.0,0.0,22PE5NACS1,Concesionado,San Martín
2241.999999999999,8864.000000000007,0.0,2557.999999999999,2588.9999999999995,704.0000000000002,247.00000000000009,3996.999999999999,61.00000000000001,11106.0,370.2,10156.0,338.5,21262.0,708.7,2015.0,11.0,201511.0,153.202065975375,1.0,0.0,9.0,0.0,22PE5NACS1,Concesionado,San Martín
2484.999999999999,11940.999999999995,0.0,2602.0,2762.999999999999,724.9999999999998,258.99999999999994,4134.999999999997,45.0,14426.0,465.4,10529.0,339.6,24955.0,805.0,2015.0,12.0,201512.0,170.075446853285,2.0,2.0,8.0,0.0,22PE5NACS1,Concesionado,San Martín
1831.9999999999995,11775.00000000001,0.0,2716.9999999999995,2961.000000000001,828.0000000000001,301.0,4065.0000000000014,53.00000000000001,13607.0,438.9,10925.0,352.4,24532.0,791.4,2016.0,1.0,201601.0,143.363097250993,1.0,1.0,10.0,0.0,22PE5NACS1,Concesionado,San Martín
1867.0000000000007,10336.999999999995,0.0,2777.0000000000014,2656.0000000000005,755.9999999999998,392.0,3806.999999999999,14.999999999999998,12204.0,420.8,10403.0,358.7,22607.0,779.6,2016.0,2.0,201602.0,146.558383261999,0.0,2.0,8.0,0.0,22PE5NACS1,Concesionado,San Martín
